sensors,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,All
/announce,0,0,0,0,0,0,0,0,3,9,22,3,14,12,23,10,6,9,10,1,1,16,8,1,148
/basement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
/bathroomdoor,28,0,0,0,0,0,0,0,0,0,6,22,16,4,14,36,80,22,70,16,48,14,48,0,424
/bed,33,51,44,18,8,19,12,10,72,58,142,93,45,82,29,27,12,60,28,44,71,123,76,46,1203
/bedroomdoor,36,0,0,0,0,0,0,0,0,0,62,11,147,117,14,34,142,28,180,32,118,58,94,18,1091
/chair,0,0,0,0,0,0,0,0,0,131,0,0,10,293,83,0,0,0,0,0,0,0,0,0,517
/chair2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
/couch,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,4,0,0,17
/debug,0,0,0,0,0,0,0,0,0,13,32,0,10,5,33,0,0,0,18,8,0,1,0,0,120
/desklamp,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,35,0,1,53
/diningroom,0,0,0,0,0,0,0,0,11,24,45,5,0,5,0,0,0,36,15,18,0,0,24,1,184
/fridge,10,1,6,6,8,24,90,259,160,134,120,150,207,164,75,90,123,223,201,169,161,133,61,15,2590
/frontdoor,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,1,1,0,0,2,0,1,2,27
/garbage,2,0,0,2,1,4,36,91,84,34,45,38,45,19,52,30,70,43,95,79,52,37,13,6,878
/kitchen,0,0,0,0,0,0,0,0,3,44,94,6,28,28,0,30,78,19,8,87,38,10,25,0,498
/lamp,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,1,19
/livingroom,0,0,0,0,0,0,21,5,46,79,156,106,69,58,92,32,56,34,89,295,201,52,30,4,1425
/nodeinfo,0,0,0,0,0,0,0,0,0,8,18,0,757,596,21,0,8,0,9,0,4,24,0,0,1445
/occupancy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14,0,0,15
/print,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4
/sink,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/studio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,66,69,0,0,0,305
/table,0,0,0,0,0,0,0,0,0,79,0,0,0,42,543,0,0,0,0,0,0,7,0,0,671
/toaster,0,0,0,0,0,0,0,0,0,0,0,0,2551,86,0,0,0,0,0,0,0,0,0,0,2637
/toilet,17,5,0,2,0,4,14,44,66,58,1551,8475,97,54,1313,76,14,28,35,38,52,35,12,12,12002
/washingmachine,0,0,0,0,0,0,0,1,0,0,0,0,75,1794,0,0,0,0,0,8,0,103,0,0,1981
All,126,57,50,28,17,51,173,410,445,697,2311,8909,4073,3362,2307,365,590,503,928,863,817,678,392,107,28259
